dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,958.4,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.998,0.004,1.0,1,False,953.79,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,1,5,0.038,0.017205,1.0,0.0,0.038,0.017205,0.978,0.004,1.04,2,False,955.83,19,False,0.42105263157894735,0.5789473684210527,0.027777777777777776,19,0.006791171477079796,0.010526315789473684,,,,,,,0.9375,0.0,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,1,5,0.196,0.02245,1.0,0.0,0.196,0.02245,0.852,0.030594,1.216,2,False,956.23,98,False,0.16326530612244897,0.8367346938775511,0.02931701030927835,98,0.0013166556945358788,0.002380952380952381,,,,,,,0.9406887755102041,0.013752460875540705,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.762,0.029933,1.0,1,False,958.73,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,1,5,0.096,0.024166,1.0,0.0,0.096,0.024166,0.972,0.011662,1.104,2,False,960.82,48,False,0.3125,0.6875,0.02917220744680851,48,0.002688172043010753,0.004166666666666667,,,,,,,0.9388020833333334,0.008926633594272194,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,960.85,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,1,5,0.164,0.020591,1.0,0.0,0.164,0.020591,0.916,0.024166,1.174,2,False,961.44,82,False,0.1951219512195122,0.8048780487804879,0.029142201144233666,82,0.0015735641227380016,0.002845528455284553,,,,,,,0.9405487804878049,0.013463050101109524,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,1,5,0.004,0.004899,1.0,0.0,0.004,0.004899,0.988,0.009798,1.004,2,False,961.67,2,True,,,,2,,,,,,,,,0.9375,0.0,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.248,0.044452,1.25,2,False,984.6,1,True,1.0,0.0,,1,0.3548387096774194,0.6666666666666666,,,,,,,0.3125,,2.2,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,2,5,0.034,0.014967,1.0,0.0,0.034,0.014967,1.0,0.0,2.0,2,False,1059.87,17,False,1.0,0.0,0.12143841911764706,17,0.007590132827324478,0.01568627450980392,,,,,,,0.5625,0.11741705457846553,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,2,5,0.012,0.007483,1.0,0.0,0.012,0.007483,0.852,0.022271,2.002,3,False,1088.12,6,False,1.0,0.0,0.13229166666666667,6,0.021505376344086023,0.044444444444444446,,,,,,,0.5208333333333334,0.09991315673568166,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2,False,1090.78,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.004899,2.0,2,False,1096.78,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.926,0.014967,2.0,2,False,1127.69,1,True,1.0,0.0,,1,0.12903225806451613,0.26666666666666666,,,,,,,0.5625,,0.0,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.974,0.018547,2.002,3,False,1134.64,1,True,1.0,0.0,,1,0.12903225806451613,0.2,,,,,,,0.9375,,0.0,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,4,5,0.06,0.018974,1.0,0.0,0.06,0.018974,0.244,0.05748,2.494,4,False,1227.7,30,False,1.0,0.0,0.2696580580002886,30,0.01511879049676026,0.05357142857142857,,,,,,,0.3891666666666667,0.11125130045016036,1.0775060125060125,0.49146752479514544,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,4,5,0.11,0.028284,1.0,0.0,0.11,0.028284,0.898,0.017205,3.898,4,False,1346.38,55,False,1.0,0.0,0.13805765993265992,55,0.002346041055718475,0.0048484848484848485,,,,,,,0.4636363636363636,0.10705968830285342,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,8,5,0.212,0.050754,1.0,0.0,0.212,0.050754,0.366,0.031369,5.842,8,False,1964.64,106,False,1.0,0.0,0.2695839718485726,106,0.0043076923076923075,0.015267175572519083,,,,,,,0.35363881401617253,0.0943201537263452,1.0638126024918477,0.6044511989538256,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T8_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,2,5,0.036,0.013565,1.0,0.0,0.036,0.013565,0.576,0.051225,2.032,3,False,1209.54,18,False,1.0,0.0,0.12928921568627452,18,0.007168458781362007,0.014814814814814815,,,,,,,0.5590277777777778,0.11500343862277218,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,8,5,0.282,0.044452,1.0,0.0,0.282,0.044452,0.87,0.031623,7.832,8,False,2163.97,141,False,1.0,0.0,0.1396403242147923,141,0.0009151223976206818,0.0018912529550827422,,,,,,,0.4228723404255319,0.1062221745667999,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T8_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,2,5,0.046,0.013565,1.0,0.0,0.046,0.013565,0.688,0.049558,2.02,3,False,1219.23,23,False,1.0,0.0,0.12957015810276679,23,0.005610098176718092,0.011594202898550725,,,,,,,0.5652173913043478,0.1468397400663728,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,4,5,0.242,0.017205,1.0,0.0,0.242,0.017205,0.416,0.042237,3.644,5,False,1810.52,121,False,1.0,0.0,0.141432076446281,121,0.0010663822980538523,0.0022038567493112946,,,,,,,0.4772727272727273,0.1280616780634619,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,4,5,0.03,0.02,1.0,0.0,0.03,0.02,0.15,0.025298,2.306,4,False,1831.5,15,False,0.4666666666666667,0.5333333333333333,0.040773809523809525,15,0.008602150537634409,0.017777777777777778,,,,,,,0.4875,0.0338501600193165,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,4,5,0.032,0.007483,1.0,0.0,0.032,0.007483,0.066,0.004899,2.144,4,False,1886.31,16,False,0.9375,0.0625,0.08450520833333333,16,0.008064516129032258,0.016666666666666666,,,,,,,0.484375,0.05182226234930312,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,4,5,0.236,0.038262,1.0,0.0,0.236,0.038262,0.39,0.053666,3.53,5,False,1890.2,118,False,1.0,0.0,0.14108901926698536,118,0.0010934937124111536,0.0022598870056497176,,,,,,,0.4809322033898305,0.11607675564138507,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,4,5,0.108,0.027857,1.0,0.0,0.108,0.027857,0.182,0.041183,2.51,5,False,2090.59,54,False,1.0,0.0,0.1333420684835779,54,0.0023894862604540022,0.0049382716049382715,,,,,,,0.4351851851851852,0.09314073860523477,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,4,5,0.196,0.032,1.0,0.0,0.196,0.032,0.332,0.050754,3.336,5,False,2112.95,98,False,1.0,0.0,0.14217007679360405,98,0.0013166556945358788,0.0027210884353741495,,,,,,,0.47831632653061223,0.1363185679881591,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,4,5,0.178,0.027857,1.0,0.0,0.178,0.027857,0.338,0.060465,3.102,5,False,2200.75,89,False,1.0,0.0,0.14400456460674158,89,0.0014498006524102935,0.00299625468164794,,,,,,,0.449438202247191,0.1280787990469438,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma10.0.json
